Film,Subs,Film-miller,Subs-miller,JARVISID-Film,JARVISID-Subs,PrevData W_adhesion (Jm-2),Ref
Al(111),Al2O3(001),"""111""","""001""",816,32,1.13,https://iopscience.iop.org/article/10.1088/0953-8984/27/30/305004/pdf
Al(111),AlN(001),"""111""","""001""",816,39,2.66,https://www.sciencedirect.com/science/article/pii/S0927025615007326
AlN(001),Al2O3(001),"""100""","""001""",39,32,0.55,https://www.sciencedirect.com/science/article/pii/S0927025615007326
MoS2(001),Al2O3(001),"""001""","""001""",664,32,0.48,https://aip.scitation.org/doi/pdf/10.1063/1.4928179
Cu(111),TiN(111),"""111""","""111""",867,14741,0.15,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf
Cu(111),W(001),"""111""","""001""",867,79561,0.45,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf
Al(111),TiN(111),"""111""","""111""",816,14741,1.8,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf
Al(111),W(001),"""111""","""001""",816,79561,0.5,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf
Cu(111),SiO2(101),"""111""","""101""",867,58349,0.15,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf
Al(111),SiO2(101),"""111""","""101""",816,58349,0.3,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf
MoS2(001),WSe2(001),"""001""","""001""",664,652,0.26,https://arxiv.org/ftp/arxiv/papers/2004/2004.03025.pdf
C(001),BN(001),"""001""","""001""",667,688,0.22,
C(001),SiO2(101),"""001""","""101""",667,58349,0.45,https://theory.cm.utexas.edu/henkelman/pubs/gao14_255301.pdf
Cu(111),SiO2(001),"""111""","""001""",867,58349,1.4,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.83.115327
Cu(100),Cu2O(111),"""100""","""111""",867,1216,2.77,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.84.125308
Ti(001),TiN(001),"""001""","""001""",1029,14741,4.45,https://iopscience.iop.org/article/10.1088/0953-8984/26/26/265004/pdf
Cu(001),ZrO2(110),"""001""","""110""",867,7809,2.31,https://www.sciencedirect.com/science/article/pii/S0022311517300685
Cu(111),C(001),"""111""","""001""",867,667,0.72,https://pubs.acs.org/doi/10.1021/nl204123h
Cu(111),C(001),"""111""","""001""",867,48,0.394,https://www.sciencedirect.com/science/article/pii/S0039602818309671
Cu(111),Cu2O(111),"""111""","""111""",867,1216,2.77,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.84.125308
TiO2(110),TiN(001),"""110""","""001""",5,14741,0.433,https://www.sciencedirect.com/science/article/pii/S0927025616305687
TiO2(001),TiN(111),"""001""","""111""",104,14741,1.71,https://www.sciencedirect.com/science/article/pii/S0927025616305687
TiO2(001),TiN(001),"""001""","""001""",104,14741,0.04,https://www.sciencedirect.com/science/article/pii/S0927025616305687
